,Full request URI,Label
0,http://www.springboard4health.com/notebook/health_food_addiction.html,Health
1,http://www.gamespot.com/news/2005/07/06/news_6128654.html,Health
2,http://www.gamespot.com/news/2005/02/18/news_6118921.html,Health
3,http://www.askmen.com/fashion/body_and_mind/16_better_living.html,Health
4,http://psychcentral.com/netaddiction/,Health
5,http://www.pipelinetesting.com,Health
6,http://www.ohsinc.com/,Health
7,http://www.toolkit.cch.com/text/p05_1075.asp,Health
8,http://www.aegislabs.com/,Health
9,http://www.asbc-tsbc.com/,Health
10,http://www.drug-screen.com/,Health
11,http://www.drugfreebusiness.org,Health
12,http://www.everitest.net/,Health
13,http://www.sluggerspath.com,Health
14,http://www.winternet.com/~terrym/comics.html,Health
15,http://www.winternet.com/~terrym/twenty.html,Health
16,http://healthlink.mcw.edu/article/1018795126.html,Health
17,http://www.howstuffworks.com/alcohol.htm,Health
18,http://www.jacsweb.org/,Health
19,http://www.jacsweb.org/,Health
20,http://www.adultchildren.org/,Health
21,http://www.12stepforums.net/chatroom3.html,Health
22,http://www.12stepforums.net/alanon.html,Health
23,http://www.12stepforums.net/teens.html,Health
24,http://www.dickb.com/annesm.shtml,Health
25,http://al-anontokyo.org/,Health
26,http://www.al-anon-co.org/,Health
27,http://www.la-al-anon.org,Health
28,http://www.ma-al-anon-alateen.org,Health
29,http://www.pa-al-anon.org/,Health
30,http://www.berkeley.edu/news/media/releases/2002/04/30_alano.html,Health
31,http://www.cheraglibrary.org/mir/stories/,Health
32,http://www.recoveryemporium.com/articles/spon12.htm,Health
33,http://www.aabeijing.com/index.htm,Health
34,http://www.aavirginislands.org/,Health
35,http://www.alcoholics-anonymous.org.uk/,Health
36,http://www.alcoholicsanonymous.ie/,Health
37,http://www.winternet.com/~terrym/oxford.html,Health
38,http://www.srsofcharity.org/aa.html,Health
39,http://www.dickb.com/oldschoolaa.shtml,Health
40,http://www.dickb.com/archives/history.shtml,Health
41,http://www.dickb.com/aahistorysites.shtml,Health
42,http://www.alcoholicsanonymous.ie/page4.html,Health
43,http://www.alcoholicsanonymous.org.au/factfile/fact_file_history.php,Health
44,http://www.dickb.com/aabasicideas.shtml,Health
45,http://www.stellarfire.org/,Health
46,http://www.morerevealed.com/archives/arc_jama_bb_review.jsp,Health
47,http://www.wacypaa.org/,Health
48,http://www.alcoholicsanonymous.bm/,Health
49,http://www.aaneontarioarea84.org,Health
50,http://www.blossomtimeconvention.com/,Health
51,http://www.aapvconvention.com/,Health
52,http://www.aapvconvention.com/aainpv.htm,Health
53,http://www.theagapecenter.com/aainusa,Health
54,http://www.wacypaa.org/,Health
55,http://www.area03.org,Health
56,http://www.prescottaa.org/index.htm,Health
57,http://www.lacoaa.org,Health
58,http://www.oc-aa.org/,Health
59,http://www.santabarbaraaa.com/,Health
60,http://www.aanoc.com/,Health
61,http://www.daccaa.org,Health
62,http://www.northcoloradoaa.org,Health
63,http://www.aafloridakeys.org/,Health
64,http://www.aanorthflorida.org/,Health
65,http://www.ncintergroup.com/,Health
66,http://www.aahernandocounty.com/,Health
67,http://www.theagapecenter.com/,Health
68,http://www.aaftwayne.org,Health
69,http://www.aadesmoines.org,Health
70,http://www.amesaa.org,Health
71,http://www.aakansas.org,Health
72,http://www.kansas-aa.org/,Health
73,http://www.ashlandaa.org/,Health
74,http://www.aamaine.org,Health
75,http://area28.aamaine.org/,Health
76,http://www.marylandaa.org/,Health
77,http://www.nemdaa.org,Health
78,http://www.baltimoreaa.org,Health
79,http://www.aaemass.org,Health
80,http://www.tauc.us/index.html,Health
81,http://www.toledoaa.com,Health
82,http://www.aaowatonna.org,Health
83,http://www.lvcentraloffice.org/,Health
84,http://www.snjaa.org/,Health
85,http://www.aacny.org/,Health
86,http://www.suffolkny-aa.org/,Health
87,http://nctriaa.org,Health
88,http://www.aajacksonvillenc.org/,Health
89,http://www.toledoaa.com,Health
90,http://www.ashlandaa.org/,Health
91,http://www.aaincantonohio.org/,Health
92,http://www.aa-salem.com/,Health
93,http://www.district38-aa.org,Health
94,http://www.aapa11.org/,Health
95,http://www.themenscenter.org/,Health
96,http://www.aa-swta.org/,Health
97,http://www.aaelpaso.org,Health
98,http://www.saltlakeaa.org,Health
99,http://www.utahvalleyaa.org/,Health
100,http://www.eastsideintergroup.org/,Health
101,http://www.alcoholicsanonymous.org.au,Health
102,http://www.alcoholics-anonymous.org.nz/,Health
103,http://www.12stepforums.net,Health
104,http://aa-mom.org,Health
105,http://www.stayingcyber.org/,Health
106,http://www.myduiguy.com/,Health
107,http://www.detox5.co.uk,Health
108,http://www.cais.co.uk,Health
109,http://www.rosemaryclough.co.uk,Health
110,http://www.drugconcern.org/,Health
111,http://www.addictioncentre.ca,Health
112,http://www.methadonecenters.com/,Health
113,http://www.nenqayni.com/,Health
114,http://www.ranchrecovery.com,Health
115,http://www.hollyburn.ca,Health
116,http://www.tsowtunlelum.org,Health
117,http://www.csfs.org/index.html,Health
118,http://www.xrdstc.net,Health
119,http://www.ventureacademy.ca,Health
